table,context
"{'column_header': ['born', 'nationality', 'knownxa0for', 'notable_work'], 'row_number': [1, 1, 1, 1], 'content': ['march 5, 1942new york city, united states', 'american', 'photography', 'women en large: images of fat nudes familiar men: a book of nudes women of japan']}","laurie toby edison (born march 5, 1942) is an internationally exhibited american artist, photographer, and visual activist. much of edison's photography is black-and-white fine art portraits. their current project is pandemic shadows. their lifelong commitment to social justice informs all their work. their work has been exhibited in museums and galleries around the world, including new york city, tokyo, kyoto, toronto, boston, london, shanghai, los angeles, beijing, seoul, budapest, and san francisco. edison was born in 1942 in new york city in a family of artists and designers. their early influences include the beat movement, abstract expressionism, and jazz."
"{'column_header': ['born', 'height', 'weight', 'sport', 'event'], 'row_number': [1, 1, 1, 1, 1], 'content': ['1 february 1986', '1.80xa0m [1]', '71xa0kg', 'track and field', 'shot put']}","yaniuvis lópez sago (born 1 february 1986) is a cuban athlete whose specialty is the shot put. she represented her country at four world championships, in 2009, 2013, 2015 and 2017 without qualifying for the final on any occasion. in addition, she has won multiple medals on regional level. her personal best in the event is 18.92 metres set in havana in 2017."
"{'column_header': ['born', 'nationality', 'almaxa0mater', 'occupation', 'yearsxa0active', 'organization', 'spouse', 'children', 'website'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['edward francis anhalt february 19, 1946 providence, rhode island', 'american', 'university of wisconsin-madison', 'founder', '1995present', 'banking on kids', 'beverly belfer[1]', 'lexie anhalt[1]', 'http://bankingonkids.org/']}","edward francis anhalt was born to jack and sadye (née moskol) anhalt. anhalt earned a bachelor of science degree from the university of wisconsin-madison, a master of science degree from the university of wisconsin-milwaukee, and a doctoral degree from rutgers university. anhalt taught at muhlenberg college, and also taught as a professor of business at cardinal stritch university and presently is dean of education at international university for graduate studies. anhalt is the president of banking on kids, a company that helps k-8 students become fiscally prudent by opening student-run-banks in their schools. founded in 1995 by anhalt, his initiatives represented an example of local banks becoming involved in elementary and middle school education: in 1999, the organization started programs in 75 schools with the help of 15 banks in the milwaukee area. the program, which is curricular-driven, sets many goals for students, such as opening their own savings account. anhalt believes the program is beneficial because it helps students set financial habits early on. anhalt has also stated that another goal of the organization is to reduce the use of check-cashing services, which he called ""legalized loan sharking."" such services take a significant percentage cut from the value of the check, and anhalt argues that more emphasis needs to be placed on individuals saving money and using banks. under his organization, just like downtown, anhalt marketed, promoted, and coordinated several promotional events in the milwaukee area. for instance, he promoted several ""best of"" contests featuring local foods such as frozen custard, fish fries, and pizza. he also organized and promoted the idea for the park-it market at county stadium in 1982, which was a flea market described as ""milwaukee's biggest rummage sale ever."" the event attracted 600 sellers and an estimated 8,000 to 10,000 attendees. anhalt was noted for his atypical promotional strategy, such as using wbcs radio as a method to advertise the event."
"{'column_header': ['date_of_birth', 'place_of_birth', 'height', 'position(s)', 'current_team', 'number', '0000/2011', '2011/2016', '2016/2021', 'years', '2021/2023', '2023', '2019', '2021', '2022'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['22 january 2003', 'duisburg, germany', '1.75xa0m', 'midfielder', 'trabzonspor', '33', 'hamborn 07', 'schalke 04', 'borussia dortmund', 'team', 'apps', '', 'borussia dortmund ii', '14', '']}","gürpüz is a youth product of the academies of hamborn 07, schalke and borussia dortmund. he was promoted to borussia dortmund's reserves in 2021, and made bench appearances for the senior squad in the bundesliga several times during the 2022-23 season. on 17 december 2021, he signed his first professional contract with the club. he made his professional debut with borussia dortmund ii in a 2–0 3. liga loss to freiburg ii on 28 august 2022. born in germany, gürpüz is of turkish descent. he first represented the turkey u16s in 2019, before playing for the germany u19s in 2021. in november 2021, he again switched to represent the turkey u21s in november 2022. born in germany, gürpüz is of turkish descent. he first represented the turkey u16s in 2019, before playing for the germany u19s in 2021. in november 2021, he again switched to represent the turkey u21s in november 2022."
"{'column_header': ['preceded_by', 'succeeded_by', 'born', 'political_party', 'spouse', 'children'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['stephen keith', 'tim couch', 'june 3, 1941 berea, kentucky, u.s.', 'republican', 'hugh', '3']}","barbara colter (born june 3, 1941) is an american politician from kentucky who was a member of the kentucky house of representatives from 1995 to 2003. colter was first elected in 1994 after incumbent representative stephen keith retired. she was defeated for renomination in 2002 by tim couch."
"{'column_header': ['date_of_birth', 'place_of_birth', 'original_team(s)', 'draft', 'debut', 'height', 'weight', 'position(s)', 'years', '2003/2010', '2013'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['19 april 1984', 'canberra, australia', 'sandringham / mentone grammar school', '46', '3 august 2003, st kildaxa0vs. west coast eagles, at docklands', '188xa0cm', '92xa0kg', 'defender', '', 'games', 'st kilda']}",fisher was recruited as the number 46 draft pick in the 2002 afl draft from sandringham. he made his debut for st kilda in 2003 against the west coast eagles in round 18. fisher went on to become a regular fixture in the saints' best 22 playing as a small defender in 2006 and 2007. fisher was recruited as the number 46 draft pick in the 2002 afl draft from sandringham. he made his debut for st kilda in 2003 against the west coast eagles in round 18. fisher went on to become a regular fixture in the saints' best 22 playing as a small defender in 2006 and 2007. fisher was redrafted by st kilda as a rookie player but was again delisted following the 2010 season. fisher originally wore number 22 until 2005 when he changed to number 6. he later wore the number 37 after he was redrafted. over his career fisher played in one afl final and one nab cup final.
"{'column_header': ['full_name', 'date_of_birth', 'place_of_birth', 'height', 'position(s)', '1994/1997', '1999/2001', 'years', '1997/2001', '2001', '2001/2003', '2003/2005', '2005/2006', '2011/2014', '2011/2015', '2015/2018'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['adam king skumawitz', 'february 1979', 'newport beach, ca', '6xa0ft 3xa0in', 'midfielder, attacker', 'san diego surf', 'olympic development program national pool', '', 'apps', 'cornell university[1][2]', '67', '', 'team', 'apps', '', 'boston bulldogs']}","skumawitz was born in newport beach, ca, and played college soccer at cornell university from 1997 to 2001 and decided he would play internationally in germany and norway. he is the all-time leader in cornell men's soccer history for games played (67) and games started (64) and was the team's leading scorer in 2000. skumawitz turned professional in 2001 and spent one season with the boston bulldogs before joining fc gruen-weiss wolfen and finishing his playing career in the norwegian premier league with aalesunds fk. skumawitz began coaching immediately after he finished playing overseas and coached for 15 years before retiring from the field in 2015. his first position was as the varsity head coach for the temecula valley girls high school team, winning a cif (california) state championship and completing an undefeated season in his second year in charge. in club soccer, skumawitz served as the college liaison and girls head coach for carlsbad elite (now named la galaxy san diego) and led his team to a us youth national championship and number one national youth ranking."
"{'column_header': ['born', 'currentxa0team', 'discipline', 'role'], 'row_number': [1, 1, 1, 1], 'content': ['10 march 1944 zwevezele, belgium', 'retired', 'road', 'rider']}","willy van neste (born 10 march 1944) is a retired belgian professional road bicycle racer who competed as a professional from 1966 to 1976. he participated in seven editions of the tour de france, where he won a stage in the 1967 tour de france and wore the yellow jersey as leader of the general classification for the following day. other career highlights include winning the four days of dunkirk in 1970, the züri-metzgete in 1972 and grand prix de fourmies in 1967. he also finished second in the 1968 gent–wevelgem and the 1970 amstel gold race. this biographical article related to a belgian cyclist born in the 1940s is a stub. you can help wikipedia by expanding it."
"{'column_header': ['born', 'nationality', 'occupation'], 'row_number': [1, 1, 1], 'content': ['9 october 1943 schwarzenbach an der saale, germany', 'dutch', 'actor']}","peter faber (born 9 october 1943, in schwarzenbach an der saale, germany) is a dutch stage, television and film actor. faber was born in germany, to a set of parents who beat him regularly; he was rebellious from an early age. they moved to amsterdam-noord when he was six. his mother left with another man, and his father had to make do working whatever job was available. at sixteen, faber left home and roamed around for a while."
"{'column_header': ['full_name', 'date_of_birth', 'place_of_birth', 'position(s)', 'years', '1977/1978', '1979/1980', '', '20??2012', '2012/2013', '2013'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['shaun hollinshead[1]', '21 february 1961 [1]', 'sandbach,[1] england', 'midfielder', 'team', 'apps', '', '', 'eastwood hanley', '', '']}","shaun hollinshead (born 21 february 1961) is an english footballer who played in the football league for crewe alexandra. after ending his semi-pro career he turned to management and is currently in charge of eccleshall. hollinshead was born in sandbach and began his career with crewe alexandra. he made five appearances under manager harry gregg but failed to forge a career in professional football and became a foreman groundsman with cheshire county council and played semi-pro football with congleton town, eastwood hanley, kidsgrove athletic, newcastle town and rhyl. he turned to management with congleton vale and alsager town and had a successful spell with stone dominoes. he was appointed manager of kidsgrove athletic in the summer of 2012. he was sacked in april 2013. hollinshead was appointed manager of eccleshall in november 2013. general specific"
"{'column_header': ['full_name', 'date_of_birth', 'place_of_birth', 'position(s)', 'current_team', 'number', '', '2013/2021', 'years', '2021', '2022/2023', '2023', '2016', '2017/2018', '2022'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['elliot morgan thorpe[1]', '9 november 2000', 'hinchingbrooke, england', 'midfielder', 'luton town', '28', '3', 'tottenham hotspur', 'team', 'apps', '', 'luton town', '', 'burton albion', '5']}","elliot morgan thorpe (born 9 november 2000) is a professional footballer who plays for premier league club luton town, as a wing-back and midfielder. he represented wales at under-21 level. born in hinchingbrooke, thorpe began his career with cambridge united and tottenham hotspur. he signed for luton town in september 2021. he initially played for luton's development squad. he made his first-team debut on 5 february 2022, in the fa cup. he signed for luton town in september 2021. he initially played for luton's development squad. he made his first-team debut on 5 february 2022, in the fa cup. on 1 september 2022 he moved on loan to burton albion. thorpe was recalled by luton in january 2023. on 1 september 2022 he moved on loan to burton albion. thorpe was recalled by luton in january 2023. on 1 september 2022 he moved on loan to burton albion. thorpe was recalled by luton in january 2023. on 12 july 2023, thorpe signed for league one club shrewsbury town on a season-long loan deal. the loan ended in december 2023 due to injury. on 12 july 2023, thorpe signed for league one club shrewsbury town on a season-long loan deal. the loan ended in december 2023 due to injury. thorpe qualifies for wales through his mother. he has represented wales at youth levels, starting at under-16 team, and including the under-21 team. this biographical article related to association football in england, about a midfielder born in the 2000s, is a stub. you can help wikipedia by expanding it. this biographical article related to association football in wales, about a midfielder, is a stub. you can help wikipedia by expanding it."
"{'column_header': ['preceded_by', 'born', 'political_party'], 'row_number': [1, 1, 1], 'content': ['gail mccann beatty', 'april 28, 1986', 'democratic']}","ashley jade bland manlove (born april 28, 1986) is a democratic member of the missouri general assembly, representing the state's 26th house district."
"{'column_header': ['born', 'yearsxa0active'], 'row_number': [1, 1], 'content': ['16 may 1959 fulham, london, england', '1970/1988']}","tracy constance margaret hyde (born 16 may 1959) is a british former actress and model who shot to fame in the 1971 film melody after being discovered by film producer david puttnam. hyde was born in fulham, london, england. she learned ballet at the age of four, did junior modelling for an agency, and auditioned for a pickle advertisement."
"{'column_header': ['full_name', 'date_of_birth', 'place_of_birth', 'height', 'position(s)', 'current_team', 'number', '0000/2016', '2016/2018', 'years', '2018', '2019/2021', '2019', '2022', '2023', '2024'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['aboubacar kobele keita[1]', 'april 6, 2000', 'new york city, new york, united states', '6xa0ft 2xa0in [2]', 'defender', 'bohemians', '4', 'santos columbus fc', 'columbus crew', '', 'apps', 'virginia cavaliers', '', '', 'team', 'apps']}","keita was born in new york city but grew up in ohio, attending westerville north high school and playing for the crew sc academy. after just one year in college at virginia, he signed with columbus crew as the 12th homegrown player in club history. keita made his professional debut in 2019 while on loan to richmond kickers in usl league one. although he was born in new york city, keita was raised in guinea, moved to westerville, ohio, at the age of 10 and attended westerville north high school. as a sophomore, he was named honorable mention all-ohio capital conference while primarily playing as a forward. he joined the crew academy in 2016, playing in the u.s. soccer development academy for the u16/17 and u18/19 teams and scoring once in 43 appearances. keita also trained with the crew's first team and played against charleston battery at the 2018 carolina challenge cup. in january 2018, keita took part in his first international camp, training with an assembled united states u19 national team in lakewood ranch, florida. later that month, he committed to play collegiately for coach george gelnovatch at the university of virginia. keita made his debut for virginia on august 24, 2018, starting the season-opener against nationally ranked new hampshire. he played the full 90 minutes in a 1–0 victory over the wildcats. on september 28, he scored his first collegiate goal as part of a 2–0 victory against pittsburgh. keita appeared in all three postseason games for the cavaliers, although they lost in the first round of the acc men's soccer tournament and were eliminated in the third round of the ncaa tournament. after concluding his lone collegiate season with one goal in 17 appearances, keita was named to the atlantic coast conference all-freshman team and earned an invite to a camp for the united states u20 national team. on january 22, 2019, keita was announced as the 12th homegrown player (hgp) signing in columbus crew history. he became the third hgp on the roster for columbus' 2019 season, joining wil trapp and alex crognale. keita had attended his first crew game at the age of 12 and as a crew academy player had previously trained with the first team in prior years. on january 22, 2019, keita was announced as the 12th homegrown player (hgp) signing in columbus crew history. he became the third hgp on the roster for columbus' 2019 season, joining wil trapp and alex crognale. keita had attended his first crew game at the age of 12 and as a crew academy player had previously trained with the first team in prior years. in a bid to get acclimated to the professional game, keita was sent on loan to usl league one club richmond kickers on march 6, 2019. the loan was for the duration of the 2019 usl league one season, with columbus able to recall him at any point during the year. although he began the season back in columbus, recuperating from an injury suffered while on international duty, keita made his professional debut on april 27. against chattanooga red wolves, he replaced scott thomsen in the 77th minute and helped richmond see out a 1–0 victory. after earning previous camp call-ups for the united states u17, u18, and u19 national teams, keita earned his first youth caps with the united states u20 team in march 2019. in the team's final camp ahead of the 2019 fifa u-20 world cup, he came off the bench against france on march 22 and provided christian cappis with a match-tying assist in second-half stoppage time; keita also started three days later against japan. on may 10, he was named to the final roster for the tournament by head coach tab ramos. keita started all five games for the united states, playing every minute of the tournament until being subbed off in the 86th minute of the team's quarterfinal match against ecuador. throughout the tournament, he was noted to be sound defensively but struggled with distribution."
"{'column_header': ['born', 'occupation', 'yearsxa0active', 'spouses', 'children', 'awards'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['eugene allen hackman january 30, 1930 san bernardino, california, u.s.', 'actor', '1956/2004', 'faye maltesenu200b u200bu200bnbetsy arakawa u200bu200b', '3', 'full list']}","eugene allen hackman (born january 30, 1930) is an american retired actor. in a career that spanned more than six decades, he received two academy awards, two bafta awards, four golden globes, a screen actors guild award, and the silver bear. hackman's two academy award wins included one for best actor for his role as jimmy ""popeye"" doyle in william friedkin's acclaimed thriller the french connection (1971) and the other for best supporting actor for his role as ""little"" bill daggett in clint eastwood's western film unforgiven (1992). his other oscar-nominated roles were in bonnie and clyde (1967), i never sang for my father (1970), and mississippi burning (1988). eugene allen hackman (born january 30, 1930) is an american retired actor. in a career that spanned more than six decades, he received two academy awards, two bafta awards, four golden globes, a screen actors guild award, and the silver bear. hackman's two academy award wins included one for best actor for his role as jimmy ""popeye"" doyle in william friedkin's acclaimed thriller the french connection (1971) and the other for best supporting actor for his role as ""little"" bill daggett in clint eastwood's western film unforgiven (1992). his other oscar-nominated roles were in bonnie and clyde (1967), i never sang for my father (1970), and mississippi burning (1988). eugene allen hackman was born in san bernardino, california, united states, the son of eugene ezra hackman and anna lyda elizabeth (née gray). he has a brother named richard. hackman has pennsylvania dutch, english, and scottish ancestry. his mother was born in sarnia, ontario, canada. hackman's family moved frequently, finally settling in danville, illinois, where they lived in the house of his english-born maternal grandmother, beatrice. his father operated the printing press for the commercial-news, a local newspaper. hackman decided that he wanted to become an actor at age 10. his parents divorced when he was 13 and his father subsequently left the family. in 1956, hackman began pursuing an acting career. he joined the pasadena playhouse in california, where he befriended another aspiring actor, dustin hoffman. already seen as outsiders by their classmates, hackman and hoffman were voted ""the least likely to succeed"", and hackman got the lowest score the pasadena playhouse had yet given. determined to prove them wrong, hackman moved to new york city. a 2004 article in vanity fair described hackman, hoffman, and robert duvall as struggling california-born actors and close friends, sharing nyc apartments in various two-person combinations in the 1960s. to support himself between acting jobs, hackman was working at a howard johnson's restaurant when he encountered an instructor from the pasadena playhouse, who said that his job proved that hackman ""wouldn't amount to anything"". a marine officer who saw him as a doorman said ""hackman, you're a sorry son of a bitch"". rejection motivated hackman, who said: in 1963 he made his broadway debut in children from their games which only had a short run as did a rainy day in newark. however any wednesday with actress sandy dennis was a huge broadway success in 1964. this opened the door to film work. his first credited role was in lilith, with jean seberg and warren beatty in the leading roles. hackman was honored with the cecil b. demille award from the golden globe awards for his ""outstanding contribution to the entertainment field"" in 2003. hackman has been married twice. he has three children from his first marriage. in 1956, hackman married faye maltese (1929–2017), with whom he had one son and two daughters: christopher allen, elizabeth jean, and leslie anne hackman. he was often out on location making films while the children were growing up. the couple divorced in 1986, after three decades of marriage."
"{'column_header': ['born', 'education', 'occupations', 'yearsxa0active', 'knownxa0for', 'notable_work'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['john shane porteous 17 august 1942 coleraine, victoria, australia', 'university of queensland', 'actorscreenwriteranimation layout artistvoice artist', '1962present', 'a country practice as dr. terence elliot', 'screenwriter for neighbours and home and away']}","john shane porteous (born 17 august 1942) (known as shane porteous) is an australian actor, screenwriter, animation layout artist and animation voice artist. as a screenwriter, he is sometimes credited as john hanlon. shane porteous was born john shane porteous in coleraine, victoria on 17 august 1942, to pilot stanley porteous and his wife pat."
"{'column_header': ['born', 'other_names', 'height', 'weight', 'division', 'reach', 'fighting_out_of', 'team', 'rank', 'years_active', 'total', 'wins', 'byxa0knockout', 'byxa0submission', 'byxa0decision', 'losses', 'website'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['thiago alves 3 october 1983 fortaleza, brazil', 'pitbull', '5xa0ft 10xa0in', '174xa0lb', 'welterweightlightweight', '68xa0in [1]', 'coconut creek, florida, united states', 'american top team', 'brown belt in brazilian jiu-jitsu[2]', '2001present', '2', '2', '1', '5', '7', '15', 'official ufc profile http://www.thiagoalves.tv/']}","thiago alves (portuguese pronunciation: [tʃiˈaɡu ˈawvis]; born 3 october 1983) is a brazilian former bare-knuckle fighter and former mixed martial artist. a 27-fight veteran of the ultimate fighting championship, he competed in the promotion from 2005 until 2019. aside from being a professional fighter, alves has been a striking coach at the american top team since 2017. thiago alves (portuguese pronunciation: [tʃiˈaɡu ˈawvis]; born 3 october 1983) is a brazilian former bare-knuckle fighter and former mixed martial artist. a 27-fight veteran of the ultimate fighting championship, he competed in the promotion from 2005 until 2019. aside from being a professional fighter, alves has been a striking coach at the american top team since 2017. born and raised in fortaleza, brazil, alves began training in muay thai at the age of 15 in order to get in better shape before transitioning to mixed martial arts at the age of 17. alves won his first mma bout as an amateur at just 15 years old, defeating a 25-year-old competitor by unanimous decision. at 19, alves relocated from brazil to coconut creek, florida to train full-time at the prestigious american top team camp. born and raised in fortaleza, brazil, alves began training in muay thai at the age of 15 in order to get in better shape before transitioning to mixed martial arts at the age of 17. alves won his first mma bout as an amateur at just 15 years old, defeating a 25-year-old competitor by unanimous decision. at 19, alves relocated from brazil to coconut creek, florida to train full-time at the prestigious american top team camp. at ultimate fight night 5, alves was matched up against fellow up-and-comer jon fitch. in a match-up of two future top welterweight contenders, fitch defeated alves via tko at 4:37 into the second round after landing a flush upkick to the face of alves which dropped him and led to fitch finishing the fight with strikes. ""pitbull"" completed a busy 2006, during which he fought four times. at ufc 66, he dominated tony desouza, knocking out the jiu-jitsu black belt with a knee in the second round. following his victory, it was announced that alves tested positive for a diuretic, spironolactone, which he supposedly used to help him lose water weight in order to make the 170-pound limit. as a result of the failed drug test, alves was suspended eight months by the nevada state athletic commission and fined $5,500. in his first bout of 2008 at ufc fight night 13, alves faced his biggest test to date, as he was matched up against welterweight contender karo parisyan. after resisting any attempts to grapple but failing to amount any significant offense during the stand-up exchanges throughout the first round, ""the pitbull"" scored a knee to the head of parisyan, knocking down the judo expert before finishing him on the ground with strikes. once again taking just two months between bouts, alves accepted a fight against former ufc welterweight champion matt hughes, a fighter widely considered the most dominant champion in ufc history. the welterweight bout, which served as the main event of ufc 85 in london, was scheduled as a late replacement after chuck liddell had to pull out of his headliner fight against rashad evans with a hamstring injury. prior to the bout, alves surprised many by missing weight for the welterweight bout—coming in at 174 pounds. despite his opponent missing the 170-pound limit, hughes accepted the fight at a catchweight. despite the pre-fight blunder, alves shocked the crowd by dominating the heavily favored former champion. after picking apart hughes standing and displaying vastly-improved takedown defense throughout the first round, ""the pitbull"" knocked hughes down with a flying knee and followed him to the ground with punches early in the second, earning a tko stoppage. this win earned alves his first knockout of the night bonus award. in the post fight interview, alves attributed not making weight to spraining his ankle two weeks before the fight. josh koscheck, another top-contender and four-time ncaa wrestling all-american, stepped in for sanchez on short notice. alves controlled most of the fight and won via unanimous decision (30–27, 29–28, and 30–27). the brazilian's improved takedown-defense was once again on display, as the american top team fighter forced koscheck into a kick boxing battle. alves' devastating leg kicks proved to be a factor throughout the bout, taking away much of koscheck's mobility. he also managed to drop koscheck several times during the 3-round bout, but koscheck's quick recovery enabled him to survive the onslaughts. with his impressive victory over koscheck, alves was on a 7-fight win streak, winning 9 of his past 10 bouts. after consecutive dominant performances against parisyan, hughes and koscheck, dana white announced that alves had earned a title shot against the winner of the welterweight title-fight at ufc 94. after georges st-pierre defended his title at ufc 94, alves entered the ring to congratulate him. st. pierre said that he was looking forward to facing alves in the cage. thiago alves fought georges st-pierre for the welterweight title at the mandalay bay in las vegas on 11 july 2009 at ufc 100. during the fight, alves was taken down a total of ten times. although he showed potential on his feet and put in a resilient performance on the ground, continually getting back up, he was ultimately subjected to a clinic put on by st. pierre and being outwrestled in all five rounds ultimately losing via unanimous decision (50–45, 50–44, and 50–45). with his impressive victory over koscheck, alves was on a 7-fight win streak, winning 9 of his past 10 bouts. after consecutive dominant performances against parisyan, hughes and koscheck, dana white announced that alves had earned a title shot against the winner of the welterweight title-fight at ufc 94. after georges st-pierre defended his title at ufc 94, alves entered the ring to congratulate him. st. pierre said that he was looking forward to facing alves in the cage. thiago alves fought georges st-pierre for the welterweight title at the mandalay bay in las vegas on 11 july 2009 at ufc 100. during the fight, alves was taken down a total of ten times. although he showed potential on his feet and put in a resilient performance on the ground, continually getting back up, he was ultimately subjected to a clinic put on by st. pierre and being outwrestled in all five rounds ultimately losing via unanimous decision (50–45, 50–44, and 50–45). the alves/fitch rematch, originally slated for ufc 107, then ufc 111, then ufc 115, finally took place at ufc 117. this fight was confirmed to be the number one contendership for the welterweight championship (to fight the winner of the st-pierre/koscheck bout). alves again failed to make weight, weighing in at 171.5 lb, meaning he had to give up 20% of his fight purse. alves would go on to lose to fitch via unanimous decision. dana white stated in the post fight press conference that alves could be moving to the middleweight division. the alves/fitch rematch, originally slated for ufc 107, then ufc 111, then ufc 115, finally took place at ufc 117. this fight was confirmed to be the number one contendership for the welterweight championship (to fight the winner of the st-pierre/koscheck bout). alves again failed to make weight, weighing in at 171.5 lb, meaning he had to give up 20% of his fight purse. alves would go on to lose to fitch via unanimous decision. dana white stated in the post fight press conference that alves could be moving to the middleweight division. days later, alves said that he'd been given one more chance by the ufc to compete as a welterweight. alves was expected to face al iaquinta in a lightweight bout on 12 november 2016 at ufc 205. however, iaquinta announced on 19 september that he would not be taking the fight due to a contract dispute with the promotion. alves was rescheduled to face jim miller at the event. at the weigh-ins, alves missed weight by nearly seven pounds, weighing in at 162.6 lbs. miller, who was already on weight, had to rehydrate to keep their weight difference within 7 pounds. because of that, he came in at 157.6 lbs and the bout proceeded at catchweight. new york state athletic commission and ufc officials indicated that alves must not weigh more than 173 lbs the day of the fight or the fight would be cancelled. as a result, alves was fined 20% of his fight purse, which went to miller. he lost the fight by unanimous decision. after the failed attempt at lightweight, alves returned to welterweight and faced patrick côté on 8 april 2017 at ufc 210. he won the fight by unanimous decision. on 22 january 2020, news surfaced that alves had signed a three-fight contract with bare knuckle fighting championship. he was expected to make his promotional debut against phil baroni, however baroni was removed from the card as the organization could not reach him in timely fashion. instead, he made his promotional debut against former contender from the ultimate fighter, julian lane, at bkfc 12 in daytona beach, fl on 11 september 2020 alves won the fight by split decision. alves then faced ulysses diaz for the inaugural middleweight championship at bkfc 18 on 26 june 2021. he claimed the championship via technical knockout after the ringside doctor stopped the bout after the third round. his contract with bkfc expired on 12 may 2022, so he was stripped of the bkfc middleweight championship. aside from his mixed martial arts athlete and coach careers, alves was in the process of becoming a police officer in florida. however, there are no plans to become a police officer as he will focus on his coaching at american top team and being a director for an online training platform called life training."
"{'column_header': ['countryxa0(sports)', 'born', 'plays', 'prize_money', 'careerxa0record', 'highestxa0ranking'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['new zealand', '18 july 1982', 'left-handed', '$25,566', '12', 'no. 657']}",simon rea (born 18 july 1982) is a new zealand tennis coach who works for tennis australia. the players he has coached include nick kyrgios.
"{'column_header': ['born', 'height', 'country', 'sport', 'event'], 'row_number': [1, 1, 1, 1, 1], 'content': ['29 march 1992', '193xa0cm', 'georgia', 'amateur wrestling', 'greco-roman']}","levan arabuli (born 29 march 1992) is a georgian greco-roman wrestler. in 2020, he won the silver medal in the 130 kg event at the 2020 european wrestling championships held in rome, italy. in the final, he lost against alin alexuc-ciurariu of romania. levan arabuli (born 29 march 1992) is a georgian greco-roman wrestler. in 2020, he won the silver medal in the 130 kg event at the 2020 european wrestling championships held in rome, italy. in the final, he lost against alin alexuc-ciurariu of romania. in 2017, he won one of the bronze medals in the 130 kg event at the 2017 european wrestling championships held in novi sad, serbia. this biographical article relating to a georgian sport wrestler or wrestling coach is a stub. you can help wikipedia by expanding it."
"{'column_header': ['born', 'origin', 'genres', 'occupation(s)', 'instrument(s)', 'years_active'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['1962 [1]', 'london, england', 'reggaejazzfunksoul', 'session singer, songwriter', 'vocals', '1978present']}",helen rogers (born in 1962) is a british singer/songwriter who has been active since 1978. she has been featured vocalist with brit funk bands direct drive and 7th heaven. she has also been a session singer for paul hardcastle.
"{'column_header': ['born', 'nationality', 'weight(s)', 'height', 'stance', 'total_fights', 'wins', 'losses', 'draws', 'no_contests'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['10 november 1963 bolton, england', 'english', 'lightweight light welterweight', '5xa0ft 10xa0in', 'orthodox', '31', '26', '4', '1', '0']}","carl crook (born 10 november 1963, in bolton) is an english former professional lightweight and light welterweight boxer. as an amateur, he was runner-up in the 1985 amateur boxing association of england (abae) lightweight championship against eamon mcauley of hogarth amateur boxing club, as a professional, he won the central area lightweight title, british lightweight title, and the commonwealth lightweight title, and was also a challenger for the ebu (european) lightweight title. it was only after 117 amateur bouts he emerged as a professional and captured two lightweight titles. carl and his family moved from bolton to adlington and he made his debut in boxing in chorley. carl had to wait until january 27, 1975 for his first bout as he was not allowed to fight until he is 11 years old. in 1980 he joined army and continued his love and passion for the sport. he missed out on an opportunity to represent britain in the olympic games in 1984 as he lost the aba finals. carl claimed his first title at the preston guild hall against moroccan-born najib daho in 1990. in may 1992, he gained british and commonwealth defenses against glaswegian steve boyle in preston. carl's last pro-fight was quite memorable in levallois, france a knockout against jean-baptiste mendy in his second european title attempt in april 1993. it was a voluntary title defense and took jean-baptiste mendy to eight or ninth round. now, he gives shape training at natbridge boxing club, leyland, offering advice to younger fighters."
