table,context
"{'column_header': ['preceded_by', 'succeeded_by', 'born', 'political_party', 'spouse', 'children'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['Stephen Keith', 'Tim Couch', '(1941-06-03) June 3, 1941 (age\xa082)Berea, Kentucky, U.S.', 'Republican', 'Hugh', '3']}","Barbara Colter (born June 3, 1941) is an American politician from Kentucky who was a member of the Kentucky House of Representatives from 1995 to 2003. Colter was first elected in 1994 after incumbent representative Stephen Keith retired.[1] She was defeated for renomination in 2002 by Tim Couch.[2]"
"{'column_header': ['date_of_birth', 'place_of_birth', 'original_team(s)', 'draft', 'debut', 'height', 'weight', 'position(s)', 'years', '2003–2010', '2013–'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['(1984-04-19) 19 April 1984 (age\xa040)', 'Canberra, Australia', 'Sandringham / Mentone Grammar School', '46', '3 August 2003, St Kilda\xa0vs. West Coast Eagles, at Docklands', '188\xa0cm (6\xa0ft 2\xa0in)', '92\xa0kg (203\xa0lb)', 'Defender', '', 'Games (Goals)', 'St Kilda']}","Fisher was recruited as the number 46 draft pick in the 2002 AFL Draft from Sandringham. He made his debut for St Kilda in 2003 against the West Coast Eagles in Round 18. Fisher went on to become a regular fixture in the Saints' best 22 playing as a small defender in 2006 and 2007.
Fisher was recruited as the number 46 draft pick in the 2002 AFL Draft from Sandringham. He made his debut for St Kilda in 2003 against the West Coast Eagles in Round 18. Fisher went on to become a regular fixture in the Saints' best 22 playing as a small defender in 2006 and 2007.
Fisher was redrafted by St Kilda as a rookie player but was again delisted following the 2010 season.
Fisher originally wore number 22 until 2005 when he changed to number 6. He later wore the number 37 after he was redrafted. Over his career Fisher played in one AFL final and one NAB Cup final."
"{'column_header': ['full_name', 'date_of_birth', 'place_of_birth', 'height', 'position(s)', '1994–1997', '1999–2001', 'years', '1997–2001', '2001', '2001–2003', '2003–2005', '2005–2006', '2011–2014', '2011–2015', '2015–2018'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['Adam King Skumawitz', 'February 1979', 'Newport Beach, CA', '6\xa0ft 3\xa0in (1.91\xa0m)', 'Midfielder, Attacker', 'San Diego Surf', 'Olympic Development Program National Pool', '(Gls)', 'Apps', 'Cornell University[1][2]', '67', '(20)', 'Team', 'Apps', '(Gls)', 'Boston Bulldogs']}","Skumawitz was born in Newport Beach, CA, and played college soccer at Cornell University from 1997 to 2001 and decided he would play internationally in Germany and Norway. He is the all-time leader in Cornell Men's Soccer history for games played (67) and games started (64) and was the team's leading scorer in 2000.
Skumawitz turned professional in 2001 and spent one season with the Boston Bulldogs before joining FC Gruen-Weiss Wolfen and finishing his playing career in the Norwegian Premier League with Aalesunds FK.
Skumawitz began coaching immediately after he finished playing overseas and coached for 15 years before retiring from the field in 2015. His first position was as the Varsity Head Coach for the Temecula Valley Girls High School team, winning a CIF (California) State championship and completing an undefeated season in his second year in charge. In club soccer, Skumawitz served as the College Liaison and Girls Head Coach for Carlsbad Elite (now named LA Galaxy San Diego) and led his team to a US Youth National Championship and number one national youth ranking."
"{'column_header': ['born', 'current\xa0team', 'discipline', 'role'], 'row_number': [1, 1, 1, 1], 'content': ['(1944-03-10) 10 March 1944 (age\xa080)Zwevezele, Belgium', 'Retired', 'Road', 'Rider']}","Willy Van Neste (born 10 March 1944) is a retired Belgian professional road bicycle racer who competed as a professional from 1966 to 1976. He participated in seven editions of the Tour de France, where he won a stage in the 1967 Tour de France and wore the yellow jersey as leader of the general classification for the following day. Other career highlights include winning the Four Days of Dunkirk in 1970, the Züri-Metzgete in 1972 and Grand Prix de Fourmies in 1967. He also finished second in the 1968 Gent–Wevelgem and the 1970 Amstel Gold Race.
This biographical article related to a Belgian cyclist born in the 1940s is a stub. You can help Wikipedia by expanding it."
"{'column_header': ['born', 'nationality', 'occupation'], 'row_number': [1, 1, 1], 'content': ['(1943-10-09) 9 October 1943 (age\xa080)Schwarzenbach an der Saale, Germany', 'Dutch', 'Actor']}","Peter Faber (born 9 October 1943, in Schwarzenbach an der Saale,[1] Germany) is a Dutch stage, television and film actor.
Faber was born in Germany, to a set of parents who beat him regularly; he was rebellious from an early age.[2] They moved to Amsterdam-Noord when he was six.[3] His mother left with another man, and his father had to make do working whatever job was available. At sixteen, Faber left home and roamed around for a while."
"{'column_header': ['full_name', 'date_of_birth', 'place_of_birth', 'position(s)', 'years', '1977–1978', '1979–1980', '', '20??–2012', '2012–2013', '2013–'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['Shaun Hollinshead[1]', '(1961-02-21) 21 February 1961 (age\xa063)[1]', 'Sandbach,[1] England', 'Midfielder', 'Team', 'Apps', '(Gls)', '(1)', 'Eastwood Hanley', '', '']}","
Shaun Hollinshead (born 21 February 1961) is an English footballer who played in the Football League for Crewe Alexandra. After ending his semi-pro career he turned to management and is currently in charge of Eccleshall.
Hollinshead was born in Sandbach and began his career with Crewe Alexandra. He made five appearances under manager Harry Gregg but failed to forge a career in professional football and became a foreman groundsman with Cheshire County Council and played semi-pro football with Congleton Town, Eastwood Hanley, Kidsgrove Athletic, Newcastle Town and Rhyl.[2]
He turned to management with Congleton Vale and Alsager Town and had a successful spell with Stone Dominoes. He was appointed manager of Kidsgrove Athletic in the summer of 2012.[3] He was sacked in April 2013.[4]
Hollinshead was appointed manager of Eccleshall in November 2013.[5]
General
Specific"
"{'column_header': ['full_name', 'date_of_birth', 'place_of_birth', 'position(s)', 'current_team', 'number', '', '2013–2021', 'years', '2021–', '2022–2023', '2023', '2016', '2017–2018', '2022'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['Elliot Morgan Thorpe[1]', '(2000-11-09) 9 November 2000 (age\xa023)', 'Hinchingbrooke, England', 'Midfielder', 'Luton Town', '28', '3', 'Tottenham Hotspur', 'Team', 'Apps', '(Gls)', 'Luton Town', '(0)', '→ Burton Albion (loan)', '5']}","
Elliot Morgan Thorpe (born 9 November 2000) is a professional footballer who plays for Premier League club Luton Town, as a wing-back and midfielder.[2] He represented Wales at under-21 level.
Born in Hinchingbrooke,[3] Thorpe began his career with Cambridge United and Tottenham Hotspur.[4]
He signed for Luton Town in September 2021.[5][6] He initially played for Luton's development squad.[7] He made his first-team debut on 5 February 2022, in the FA Cup.[8][9]
He signed for Luton Town in September 2021.[5][6] He initially played for Luton's development squad.[7] He made his first-team debut on 5 February 2022, in the FA Cup.[8][9]
On 1 September 2022 he moved on loan to Burton Albion.[10][11][12] Thorpe was recalled by Luton in January 2023.[13]
On 1 September 2022 he moved on loan to Burton Albion.[10][11][12] Thorpe was recalled by Luton in January 2023.[13]
On 1 September 2022 he moved on loan to Burton Albion.[10][11][12] Thorpe was recalled by Luton in January 2023.[13]
On 12 July 2023, Thorpe signed for League One club Shrewsbury Town on a season-long loan deal.[14] The loan ended in December 2023 due to injury.[15][16]
On 12 July 2023, Thorpe signed for League One club Shrewsbury Town on a season-long loan deal.[14] The loan ended in December 2023 due to injury.[15][16]
Thorpe qualifies for Wales through his mother.[4] He has represented Wales at youth levels, starting at under-16 team,[4] and including the under-21 team.[5][17][18]
This biographical article related to association football in England, about a midfielder born in the 2000s, is a stub. You can help Wikipedia by expanding it.
This biographical article related to association football in Wales, about a midfielder, is a stub. You can help Wikipedia by expanding it."
"{'column_header': ['secretary-general', 'preceded_by', 'succeeded_by', 'parliamentary_group', 'prime_minister', 'constituency', 'born', 'nationality', 'political_party', 'other_politicalaffiliations', 'residence(s)', 'alma_mater', 'occupation'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['Javier Solana', 'Tonny van de Vondervoort  Jacob Kohnstamm  (as State Secretaries for the Interior)', 'Rob Hessing', 'European Liberal  Democrat and Reform  Party Group  (1994–1998)  Liberal and Democratic  Reformist Group  (1985–1994)  Liberal and Democratic  Group  (1984–1985)', 'Wim Kok', 'Netherlands', 'Gijsbert Marius de Vries (1956-02-22) 22 February 1956 (age\xa068)New York City, New York, United States', 'American, Dutch', 'Democrats 66 (since 2010)', ""People's Party for  Freedom and Democracy  (1974–2010)"", 'Oxford, England', 'Leiden University  (Bachelor of Social Science, Master of Social Science)', 'Politician · Diplomat · Civil servant · Economist · Researcher · Author · Professor']}","Gijsbert Marius ""Gijs"" de Vries (born 22 February 1956) is a retired Dutch-American politician and diplomat who served as State Secretary for the Interior and Kingdom Relations from 1998 to 2002 and European Union Counter-terrorism Coordinator from 2004 until 2007. He was a member of the People's Party for Freedom and Democracy (VVD) until 2010, when he joined the Democrats 66 (D66) party."
"{'column_header': ['preceded_by', 'born', 'political_party'], 'row_number': [1, 1, 1], 'content': ['Gail McCann Beatty', '(1986-04-28) April 28, 1986 (age\xa038)', 'Democratic']}","Ashley Jade Bland Manlove (born April 28, 1986) is a Democratic member of the Missouri General Assembly, representing the State's 26th House district."
"{'column_header': ['born', 'years\xa0active'], 'row_number': [1, 1], 'content': ['(1959-05-16) 16 May 1959 (age\xa064)Fulham, London, England', '1970–1988']}","Tracy Constance Margaret Hyde (born 16 May 1959) is a British former actress and model who shot to fame in the 1971 film Melody[1] after being discovered by film producer David Puttnam.
Hyde was born in Fulham, London, England.  She learned ballet at the age of four, did junior modelling for an agency, and auditioned for a pickle advertisement."
"{'column_header': ['full_name', 'date_of_birth', 'place_of_birth', 'height', 'position(s)', 'current_team', 'number', '0000–2016', '2016–2018', 'years', '2018', '2019–2021', '2019', '2022–', '2023–', '2024–'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['Aboubacar Kobele Keita[1]', '(2000-04-06) April 6, 2000 (age\xa024)', 'New York City, New York, United States', '6\xa0ft 2\xa0in (1.88\xa0m)[2]', 'Defender', 'Bohemians (on loan from Colorado Rapids)', '4', 'Santos Columbus FC', 'Columbus Crew', '(Gls)', 'Apps', 'Virginia Cavaliers', '(Gls)', '(1)', 'Team', 'Apps']}","Keita was born in New York City but grew up in Ohio, attending Westerville North High School and playing for the Crew SC Academy. After just one year in college at Virginia, he signed with Columbus Crew as the 12th Homegrown Player in club history. Keita made his professional debut in 2019 while on loan to Richmond Kickers in USL League One.
Although he was born in New York City, Keita was raised in Guinea, moved to Westerville, Ohio, at the age of 10 and attended Westerville North High School. As a sophomore, he was named Honorable Mention All-Ohio Capital Conference while primarily playing as a forward.[3] He joined the Crew Academy in 2016, playing in the U.S. Soccer Development Academy for the U16/17 and U18/19 teams and scoring once in 43 appearances.[4] Keita also trained with the Crew's first team and played against Charleston Battery at the 2018 Carolina Challenge Cup.[5]
In January 2018, Keita took part in his first international camp, training with an assembled United States U19 national team in Lakewood Ranch, Florida.[6] Later that month, he committed to play collegiately for coach George Gelnovatch at the University of Virginia.[7]
Keita made his debut for Virginia on August 24, 2018, starting the season-opener against nationally ranked New Hampshire. He played the full 90 minutes in a 1–0 victory over the Wildcats.[8] On September 28, he scored his first collegiate goal as part of a 2–0 victory against Pittsburgh.[9] Keita appeared in all three postseason games for the Cavaliers, although they lost in the first round of the ACC Men's Soccer Tournament and were eliminated in the third round of the NCAA tournament.[10] After concluding his lone collegiate season with one goal in 17 appearances, Keita was named to the Atlantic Coast Conference All-Freshman Team[11] and earned an invite to a camp for the United States U20 national team.[12]
On January 22, 2019, Keita was announced as the 12th Homegrown Player (HGP) signing in Columbus Crew history. He became the third HGP on the roster for Columbus' 2019 season, joining Wil Trapp and Alex Crognale.[13] Keita had attended his first Crew game at the age of 12 and as a Crew Academy player had previously trained with the first team in prior years.[14]
On January 22, 2019, Keita was announced as the 12th Homegrown Player (HGP) signing in Columbus Crew history. He became the third HGP on the roster for Columbus' 2019 season, joining Wil Trapp and Alex Crognale.[13] Keita had attended his first Crew game at the age of 12 and as a Crew Academy player had previously trained with the first team in prior years.[14]
In a bid to get acclimated to the professional game, Keita was sent on loan to USL League One club Richmond Kickers on March 6, 2019. The loan was for the duration of the 2019 USL League One season, with Columbus able to recall him at any point during the year.[15] Although he began the season back in Columbus, recuperating from an injury suffered while on international duty,[16] Keita made his professional debut on April 27. Against Chattanooga Red Wolves, he replaced Scott Thomsen in the 77th minute and helped Richmond see out a 1–0 victory.[17]
After earning previous camp call-ups for the United States U17, U18, and U19 national teams, Keita earned his first youth caps with the United States U20 team in March 2019. In the team's final camp ahead of the 2019 FIFA U-20 World Cup, he came off the bench against France on March 22 and provided Christian Cappis with a match-tying assist in second-half stoppage time;[25] Keita also started three days later against Japan.[26] On May 10, he was named to the final roster for the tournament by head coach Tab Ramos.[27] Keita started all five games for the United States, playing every minute of the tournament until being subbed off in the 86th minute of the team's quarterfinal match against Ecuador.[28] Throughout the tournament, he was noted to be sound defensively but struggled with distribution.[29][30][31]"
"{'column_header': ['born', 'occupation', 'years\xa0active', 'spouses', 'children', 'awards'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['Eugene Allen Hackman (1930-01-30) January 30, 1930 (age\xa094)San Bernardino, California, U.S.', 'Actor', '1956–2004', 'Faye Maltese\n\u200b \u200b(m.\xa01956; div.\xa01986)\u200b\nBetsy Arakawa \u200b(m.\xa01991)\u200b', '3', 'Full list']}","Eugene Allen Hackman[1][2][3] (born January 30, 1930) is an American retired actor. In a career that spanned more than six decades, he received two Academy Awards, two BAFTA Awards, four Golden Globes, a Screen Actors Guild Award, and the Silver Bear. Hackman's two Academy Award wins included one for Best Actor for his role as Jimmy ""Popeye"" Doyle in William Friedkin's acclaimed thriller The French Connection (1971) and the other for Best Supporting Actor for his role as ""Little"" Bill Daggett in Clint Eastwood's Western film Unforgiven (1992). His other Oscar-nominated roles were in Bonnie and Clyde (1967), I Never Sang for My Father (1970), and Mississippi Burning (1988).
Eugene Allen Hackman[1][2][3] (born January 30, 1930) is an American retired actor. In a career that spanned more than six decades, he received two Academy Awards, two BAFTA Awards, four Golden Globes, a Screen Actors Guild Award, and the Silver Bear. Hackman's two Academy Award wins included one for Best Actor for his role as Jimmy ""Popeye"" Doyle in William Friedkin's acclaimed thriller The French Connection (1971) and the other for Best Supporting Actor for his role as ""Little"" Bill Daggett in Clint Eastwood's Western film Unforgiven (1992). His other Oscar-nominated roles were in Bonnie and Clyde (1967), I Never Sang for My Father (1970), and Mississippi Burning (1988).
Eugene Allen Hackman was born in San Bernardino, California, United States, the son of Eugene Ezra Hackman and Anna Lyda Elizabeth (née Gray).[4][5] He has a brother named Richard. Hackman has Pennsylvania Dutch, English, and Scottish ancestry. His mother was born in Sarnia, Ontario, Canada.[6] Hackman's family moved frequently, finally settling in Danville, Illinois, where they lived in the house of his English-born maternal grandmother, Beatrice.[7] His father operated the printing press for the Commercial-News, a local newspaper. Hackman decided that he wanted to become an actor at age 10.[8] His parents divorced when he was 13 and his father subsequently left the family.[9][10]
In 1956, Hackman began pursuing an acting career. He joined the Pasadena Playhouse in California,[13] where he befriended another aspiring actor, Dustin Hoffman.[13] Already seen as outsiders by their classmates, Hackman and Hoffman were voted ""The Least Likely To Succeed"",[16][13] and Hackman got the lowest score the Pasadena Playhouse had yet given.[17] Determined to prove them wrong, Hackman moved to New York City. A 2004 article in Vanity Fair described Hackman, Hoffman, and Robert Duvall as struggling California-born actors and close friends, sharing NYC apartments in various two-person combinations in the 1960s.[18][19] To support himself between acting jobs, Hackman was working at a Howard Johnson's restaurant[20] when he encountered an instructor from the Pasadena Playhouse, who said that his job proved that Hackman ""wouldn't amount to anything"".[21] A Marine officer who saw him as a doorman said ""Hackman, you're a sorry son of a bitch"". Rejection motivated Hackman, who said:
In 1963 he made his Broadway debut in Children From Their Games which only had a short run as did A Rainy Day in Newark. However Any Wednesday with actress Sandy Dennis was a huge Broadway success in 1964. This opened the door to film work. His first credited role was in Lilith, with Jean Seberg and Warren Beatty in the leading roles.
Hackman was honored with the Cecil B. DeMille Award from the Golden Globe Awards for his ""outstanding contribution to the entertainment field"" in 2003.[33]
Hackman has been married twice. He has three children from his first marriage.
In 1956, Hackman married Faye Maltese (1929–2017),[43][44] with whom he had one son and two daughters: Christopher Allen, Elizabeth Jean, and Leslie Anne Hackman.[45] He was often out on location making films while the children were growing up.[46] The couple divorced in 1986, after three decades of marriage.[47]"
"{'column_header': ['born', 'education', 'occupations', 'years\xa0active', 'known\xa0for', 'notable_work'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['John Shane Porteous (1942-08-17) 17 August 1942 (age\xa081)Coleraine, Victoria, Australia', 'University of Queensland', 'Actorscreenwriteranimation layout artistvoice artist', '1962–present', 'A Country Practice as Dr. Terence Elliot', 'Screenwriter for Neighbours and Home and Away']}","John Shane Porteous (born 17 August 1942)[1] (known as Shane Porteous) is an Australian actor, screenwriter, animation layout artist and animation voice artist. As a screenwriter, he is sometimes credited as John Hanlon.
Shane Porteous was born John Shane Porteous in Coleraine, Victoria on 17 August 1942,[1] to pilot Stanley Porteous and his wife Pat.[2]"
"{'column_header': ['born', 'other_names', 'height', 'weight', 'division', 'reach', 'fighting_out_of', 'team', 'rank', 'years_active', 'total', 'wins', 'by\xa0knockout', 'by\xa0submission', 'by\xa0decision', 'losses', 'website'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['Thiago Alves (1983-10-03) 3 October 1983 (age\xa040)Fortaleza, Brazil', 'Pitbull', '5\xa0ft 10\xa0in (178\xa0cm)', '174\xa0lb (79\xa0kg; 12\xa0st 6\xa0lb)', 'WelterweightLightweight', '68\xa0in (173\xa0cm)[1]', 'Coconut Creek, Florida, United States', 'American Top Team', 'Brown belt in Brazilian Jiu-Jitsu[2]', '2001–present', '2', '2', '1', '5', '7', '15', 'Official UFC Profile http://www.thiagoalves.tv/']}","Thiago Alves (Portuguese pronunciation: [tʃiˈaɡu ˈawvis]; born 3 October 1983) is a Brazilian former bare-knuckle fighter and former mixed martial artist. A 27-fight veteran of the Ultimate Fighting Championship, he competed in the promotion from 2005 until 2019. Aside from being a professional fighter, Alves has been a striking coach at the American Top Team since 2017.[3]
Thiago Alves (Portuguese pronunciation: [tʃiˈaɡu ˈawvis]; born 3 October 1983) is a Brazilian former bare-knuckle fighter and former mixed martial artist. A 27-fight veteran of the Ultimate Fighting Championship, he competed in the promotion from 2005 until 2019. Aside from being a professional fighter, Alves has been a striking coach at the American Top Team since 2017.[3]
Born and raised in Fortaleza, Brazil, Alves began training in Muay Thai at the age of 15 in order to get in better shape before transitioning to mixed martial arts at the age of 17. Alves won his first MMA bout as an amateur at just 15 years old, defeating a 25-year-old competitor by unanimous decision. At 19, Alves relocated from Brazil to Coconut Creek, Florida to train full-time at the prestigious American Top Team camp.
Born and raised in Fortaleza, Brazil, Alves began training in Muay Thai at the age of 15 in order to get in better shape before transitioning to mixed martial arts at the age of 17. Alves won his first MMA bout as an amateur at just 15 years old, defeating a 25-year-old competitor by unanimous decision. At 19, Alves relocated from Brazil to Coconut Creek, Florida to train full-time at the prestigious American Top Team camp.
At Ultimate Fight Night 5, Alves was matched up against fellow up-and-comer Jon Fitch. In a match-up of two future top welterweight contenders, Fitch defeated Alves via TKO at 4:37 into the second round after landing a flush upkick to the face of Alves which dropped him and led to Fitch finishing the fight with strikes.
""Pitbull"" completed a busy 2006, during which he fought four times. At UFC 66, he dominated Tony DeSouza, knocking out the jiu-jitsu black belt with a knee in the second round. Following his victory, it was announced that Alves tested positive for a diuretic, spironolactone, which he supposedly used to help him lose water weight in order to make the 170-pound limit.[5] As a result of the failed drug test, Alves was suspended eight months by the Nevada State Athletic Commission and fined $5,500.[6]
In his first bout of 2008 at UFC Fight Night 13, Alves faced his biggest test to date, as he was matched up against welterweight contender Karo Parisyan. After resisting any attempts to grapple but failing to amount any significant offense during the stand-up exchanges throughout the first round, ""The Pitbull"" scored a knee to the head of Parisyan, knocking down the judo expert before finishing him on the ground with strikes.
Once again taking just two months between bouts, Alves accepted a fight against former UFC Welterweight Champion Matt Hughes, a fighter widely considered the most dominant champion in UFC history. The Welterweight bout, which served as the main event of UFC 85 in London, was scheduled as a late replacement after Chuck Liddell had to pull out of his headliner fight against Rashad Evans with a hamstring injury.
Prior to the bout, Alves surprised many by missing weight for the welterweight bout—coming in at 174 pounds.[8] Despite his opponent missing the 170-pound limit, Hughes accepted the fight at a catchweight. Despite the pre-fight blunder, Alves shocked the crowd by dominating the heavily favored former champion. After picking apart Hughes standing and displaying vastly-improved takedown defense throughout the first round, ""The Pitbull"" knocked Hughes down with a flying knee and followed him to the ground with punches early in the second, earning a TKO stoppage. This win earned Alves his first Knockout of the Night bonus award.[9] In the post fight interview, Alves attributed not making weight to spraining his ankle two weeks before the fight.
Josh Koscheck, another top-contender and four-time NCAA wrestling All-American, stepped in for Sanchez on short notice.[11] Alves controlled most of the fight and won via unanimous decision (30–27, 29–28, and 30–27).[12] The Brazilian's improved takedown-defense was once again on display, as the American Top Team fighter forced Koscheck into a kick boxing battle. Alves' devastating leg kicks proved to be a factor throughout the bout, taking away much of Koscheck's mobility. He also managed to drop Koscheck several times during the 3-round bout, but Koscheck's quick recovery enabled him to survive the onslaughts.[13]
With his impressive victory over Koscheck, Alves was on a 7-fight win streak, winning 9 of his past 10 bouts. After consecutive dominant performances against Parisyan, Hughes and Koscheck, Dana White announced that Alves had earned a title shot against the winner of the welterweight title-fight at UFC 94. After Georges St-Pierre defended his title at UFC 94, Alves entered the ring to congratulate him. St. Pierre said that he was looking forward to facing Alves in the cage.[14] Thiago Alves fought Georges St-Pierre for the welterweight title at the Mandalay Bay in Las Vegas on 11 July 2009 at UFC 100.[15] During the fight, Alves was taken down a total of ten times. Although he showed potential on his feet and put in a resilient performance on the ground, continually getting back up, he was ultimately subjected to a clinic put on by St. Pierre and being outwrestled in all five rounds ultimately losing via unanimous decision (50–45, 50–44, and 50–45).
With his impressive victory over Koscheck, Alves was on a 7-fight win streak, winning 9 of his past 10 bouts. After consecutive dominant performances against Parisyan, Hughes and Koscheck, Dana White announced that Alves had earned a title shot against the winner of the welterweight title-fight at UFC 94. After Georges St-Pierre defended his title at UFC 94, Alves entered the ring to congratulate him. St. Pierre said that he was looking forward to facing Alves in the cage.[14] Thiago Alves fought Georges St-Pierre for the welterweight title at the Mandalay Bay in Las Vegas on 11 July 2009 at UFC 100.[15] During the fight, Alves was taken down a total of ten times. Although he showed potential on his feet and put in a resilient performance on the ground, continually getting back up, he was ultimately subjected to a clinic put on by St. Pierre and being outwrestled in all five rounds ultimately losing via unanimous decision (50–45, 50–44, and 50–45).
The Alves/Fitch rematch, originally slated for UFC 107, then UFC 111,[22] then UFC 115,[23] finally took place at UFC 117.[24] This fight was confirmed to be the number one contendership for the welterweight championship (to fight the winner of the St-Pierre/Koscheck bout). Alves again failed to make weight, weighing in at 171.5 lb, meaning he had to give up 20% of his fight purse. Alves would go on to lose to Fitch via unanimous decision.[25] Dana White stated in the post fight press conference that Alves could be moving to the middleweight division.[26]
The Alves/Fitch rematch, originally slated for UFC 107, then UFC 111,[22] then UFC 115,[23] finally took place at UFC 117.[24] This fight was confirmed to be the number one contendership for the welterweight championship (to fight the winner of the St-Pierre/Koscheck bout). Alves again failed to make weight, weighing in at 171.5 lb, meaning he had to give up 20% of his fight purse. Alves would go on to lose to Fitch via unanimous decision.[25] Dana White stated in the post fight press conference that Alves could be moving to the middleweight division.[26]
Days later, Alves said that he'd been given one more chance by the UFC to compete as a welterweight.[27]
Alves was expected to face Al Iaquinta in a lightweight bout on 12 November 2016 at UFC 205.[52] However, Iaquinta announced on 19 September that he would not be taking the fight due to a contract dispute with the promotion.[53] Alves was rescheduled to face Jim Miller at the event.[54] At the weigh-ins, Alves missed weight by nearly seven pounds, weighing in at 162.6 lbs. Miller, who was already on weight, had to rehydrate to keep their weight difference within 7 pounds. Because of that, he came in at 157.6 lbs and the bout proceeded at catchweight. New York State Athletic Commission and UFC officials indicated that Alves must not weigh more than 173 lbs the day of the fight or the fight would be cancelled. As a result, Alves was fined 20% of his fight purse, which went to Miller.[55] He lost the fight by unanimous decision.[56]
After the failed attempt at lightweight, Alves returned to welterweight and faced Patrick Côté on 8 April 2017 at UFC 210.[57] He won the fight by unanimous decision.[58]
On 22 January 2020, news surfaced that Alves had signed a three-fight contract with Bare Knuckle Fighting Championship.[77][78] He was expected to make his promotional debut against Phil Baroni, however Baroni was removed from the card as the organization could not reach him in timely fashion.[79] Instead, he made his promotional debut against former contender from The Ultimate Fighter, Julian Lane, at BKFC 12 in Daytona Beach, FL on 11 September 2020[80] Alves won the fight by split decision.[81]
Alves then faced Ulysses Diaz for the inaugural middleweight championship at BKFC 18 on 26 June 2021.[82] He claimed the championship via technical knockout after the ringside doctor stopped the bout after the third round.[83]
His contract with BKFC expired on 12 May 2022, so he was stripped of the BKFC Middleweight Championship.[84]
Aside from his mixed martial arts athlete and coach careers, Alves was in the process of becoming a police officer in Florida.[88] However, there are no plans to become a police officer as he will focus on his coaching at American Top Team and being a director for an online training platform called Life Training.[89][90]"
"{'column_header': ['leader', 'succeeded_by', 'preceded_by', 'born', 'nationality', 'political_party', 'other_politicalaffiliations', 'alma_mater', 'website', 'allegiance', 'branch/service', 'years\xa0of_service', 'rank', 'unit'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['Ed Miliband', 'John McNally', 'Dennis Canavan', 'Eric Stuart Joyce (1960-10-13) 13 October 1960 (age\xa063)Perth, Scotland', 'British', 'Independent', 'Labour Party (1999–2012)', 'University of Stirling', 'http://www.ericjoyce.co.uk/', 'United Kingdom', 'British Army', '1978–1981  1987-1999', 'Major', ""Black Watch  Royal Army Educational Corps  Adjutant General's Corps""]}","Eric Stuart Joyce (born 13 October 1960) is a Scottish politician, former military officer and convicted child sex offender. A former member of the Labour Party, he served as Member of Parliament (MP) for Falkirk, formerly Falkirk West, from 2000 to 2015.
Joining the army in his teens, Joyce served as a private in the Black Watch before attending the University of Stirling and subsequently receiving a commission in the Royal Army Educational Corps. He resigned from the army under threat of discharge in 1999 at the rank of major after being found to have broken Queen's Regulations. He then worked as the Public Affairs Officer at the Commission for Racial Equality (Scotland).
Joyce persuaded the Treasury to change the child benefit regulations to remove a discrepancy that disadvantaged young Scottish FE students relative to their peers in the rest of the UK.[16] In April 2008, Joyce became the first European parliamentarian to be granted an opportunity to address the newly formed Parliament of the Democratic Republic of the Congo, when he visited the DRC as the chair of the all-party parliamentary group on the Great Lakes Region of Africa with other members of the group.[17] In September 2008, Joyce was criticised by local government councillors for describing the name of the new Clackmannanshire Bridge as ""unimaginative"" and ""parochial"".[18] The naming of the bridge was reported as a contentious matter.[19][20]
The following day Joyce was suspended from the Labour party.[38] He pleaded guilty to four charges in relation to the incident,[39] was fined £3,000 and ordered to pay £1,400 in compensation to his victims, but not given a custodial sentence.[39] In a statement before the House of Commons on 12 March 2012, he apologised to his victims, stated that he had resigned from the Labour Party, and that he intended to complete his current term as an MP but not seek re-election.[40]  In August 2012, Joyce was fined £600 for removing the electronic tag that had been fitted to his leg as part of the community order.[41]
On 6 November 2018, Joyce was arrested and charged with having made an indecent image of a child. He had a 51-second Category-A film on his Apple Macbook Air[50] that showed ""the sexual abuse of very young children"" between the ages of 12 months and 7 years. The video was accessed by Joyce between August 2013 and November 2018.[51] He was given unconditional bail.[52] On 7 July 2020, Joyce pleaded guilty at Ipswich Crown Court to making an indecent image of a child and was ordered to sign the sex offenders' register.[53] On 7 August 2020, he was sentenced to eight months in prison, suspended for two years, and also ordered to perform 150 hours of community service.[54]"
